NAME,TYPE,LENGTH,LABEL
CPSTMSFP,Numeric,8,Campus 2019 Staff: Teacher MS Degree Full Time Equiv Percent
CPSTMAFC,Numeric,8,Campus 2019 Staff: Teacher Male Full Time Equiv Count
CPSTMAFP,Numeric,8,Campus 2019 Staff: Teacher Male Full Time Equiv Percent
CPSTNOFC,Numeric,8,Campus 2019 Staff: Teacher No Degree Full Time Equiv Count
CPSTNOFP,Numeric,8,Campus 2019 Staff: Teacher No Degree Full Time Equiv Percent
CPSTOPFC,Numeric,8,Campus 2019 Staff: Teacher Other Full Time Equiv Count
CPSTOPFP,Numeric,8,Campus 2019 Staff: Teacher Other Full Time Equiv Percent
CPSTPHFC,Numeric,8,Campus 2019 Staff: Teacher PH Degree Full Time Equiv Count
CPSTPHFP,Numeric,8,Campus 2019 Staff: Teacher PH Degree Full Time Equiv Percent
CPSTPIFC,Numeric,8,Campus 2019 Staff: Teacher Pacific Islander Full Time Equiv Count
CPSTPIFP,Numeric,8,Campus 2019 Staff: Teacher Pacific Islander Full Time Equiv Percent
CPSTREFC,Numeric,8,Campus 2019 Staff: Teacher Regular Program Full Time Equiv Count
CPSTREFP,Numeric,8,Campus 2019 Staff: Teacher Regular Program Full Time Equiv Percent
CPSTSPFC,Numeric,8,Campus 2019 Staff: Teacher Special Program Full Time Equiv Count
CPSTSPFP,Numeric,8,Campus 2019 Staff: Teacher Special Program Full Time Equiv Percent
CPSTKIDR,Numeric,8,Campus 2019 Staff: Teacher Student Ratio
CPSTTENA,Numeric,8,Campus 2019 Staff: Teacher Tenure Average
CPSTTOSA,Numeric,8,Campus 2019 Staff: Teacher Total Base Salary Average
CPSTTOFC,Numeric,8,Campus 2019 Staff: Teacher Total Full Time Equiv Count
CPSTTOFP,Numeric,8,Campus 2019 Staff: Teacher Total Full Time Equiv Percent
CPSTTWFC,Numeric,8,Campus 2019 Staff: Teacher Two or more races Full Time Equiv Count
CPSTTWFP,Numeric,8,Campus 2019 Staff: Teacher Two or more races Full Time Equiv Percent
CPSTWHFC,Numeric,8,Campus 2019 Staff: Teacher White Full Time Equiv Count
CPSTWHFP,Numeric,8,Campus 2019 Staff: Teacher White Full Time Equiv Percent
