                      OLS Regression Results                      
Dep. Variable:   ,English_Rate    ,  R-squared:         ,   0.111 
Model:           ,OLS             ,  Adj. R-squared:    ,   0.107 
Method:          ,Least Squares   ,  F-statistic:       ,   24.65 
Date:            ,Wed, 11 Oct 2023,  Prob (F-statistic):,5.40e-36 
Time:            ,17:51:30        ,  Log-Likelihood:    , -6957.8 
No. Observations:,  1581          ,  AIC:               ,1.393e+04
Df Residuals:    ,  1572          ,  BIC:               ,1.398e+04
Df Model:        ,     8          ,                     ,         
Covariance Type: ,nonrobust       ,                     ,         
                          ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const                     ,   51.6737,   21.046,    2.455, 0.014,   10.393,   92.954
Avg_Max_Temp              ,   -0.1039,    0.242,   -0.429, 0.668,   -0.580,    0.372
Avg_Min_Temp              ,   -0.1449,    0.135,   -1.076, 0.282,   -0.409,    0.119
Class_Size_English        ,    1.0083,    0.110,    9.205, 0.000,    0.793,    1.223
Teacher_Experience_Average,    0.6657,    0.151,    4.396, 0.000,    0.369,    0.963
Teacher_MS_Degree_Percent ,    0.2471,    0.042,    5.825, 0.000,    0.164,    0.330
Median_Household_Income   ,-2.944e-05, 6.93e-05,   -0.425, 0.671,   -0.000,    0.000
Gini_Index                ,  -13.1236,   21.165,   -0.620, 0.535,  -54.637,   28.390
Poverty_Rate              ,   -0.3937,    0.196,   -2.010, 0.045,   -0.778,   -0.010
Omnibus:      , 5.653,  Durbin-Watson:     ,   1.585
Prob(Omnibus):, 0.059,  Jarque-Bera (JB):  ,   4.854
Skew:         , 0.062,  Prob(JB):          ,  0.0883
Kurtosis:     , 2.759,  Cond. No.          ,3.09e+06

Notes:
[1] Standard Errors assume that the covariance matrix of the errors is correctly specified.
[2] The condition number is large, 3.09e+06. This might indicate that there are
strong multicollinearity or other numerical problems.
