NAME,B19013_001E,B19083_001E,B19113_001E,state,county,Poverty_Rate
"Hale County, Texas",48384.0,0.4301,55272.0,48,189,14.91751906817241
"Shelby County, Texas",42522.0,0.4653,49894.0,48,419,22.426920194090496
"Red River County, Texas",39142.0,0.4449,52079.0,48,387,19.32462410648262
"Runnels County, Texas",44940.0,0.4417,55034.0,48,399,14.77084752359638
"Sutton County, Texas",54306.0,0.4044,60792.0,48,435,13.885983263598325
"Tom Green County, Texas",53903.0,0.4684,68942.0,48,451,12.85237231535945
"Victoria County, Texas",56834.0,0.468,68569.0,48,469,14.786828648666253
"Wharton County, Texas",48310.0,0.4759,61433.0,48,481,17.34612886932679
"Wichita County, Texas",48650.0,0.4581,63857.0,48,485,14.964740569622176
"Borden County, Texas",72188.0,0.3924,96071.0,48,033,2.6101141924959217
"Marion County, Texas",37662.0,0.5129,48585.0,48,315,18.977737845662375
"Maverick County, Texas",39625.0,0.4493,44563.0,48,323,26.843607109705363
"Grayson County, Texas",54815.0,0.4467,69181.0,48,181,12.803975147694139
"Live Oak County, Texas",53848.0,0.4507,69232.0,48,297,15.13304226048274
"Palo Pinto County, Texas",50154.0,0.4554,58801.0,48,363,17.859145059565524
"Karnes County, Texas",56127.0,0.5306,72773.0,48,255,14.146027661627533
"DeWitt County, Texas",55357.0,0.5146,70672.0,48,123,14.48377581120944
"Callahan County, Texas",48651.0,0.4479,63524.0,48,059,10.551385681293302
"Cass County, Texas",44848.0,0.4331,54520.0,48,067,18.14764296882797
"Gregg County, Texas",50180.0,0.4685,61112.0,48,183,17.412084929886667
"Madison County, Texas",52664.0,0.4491,63471.0,48,313,9.29069521729943
"Lubbock County, Texas",52429.0,0.4791,69457.0,48,303,18.094997506627124
"Kaufman County, Texas",70107.0,0.4092,79328.0,48,257,11.198345772349844
"Kendall County, Texas",84747.0,0.489,101793.0,48,259,5.508464895245494
"Floyd County, Texas",50580.0,0.4073,54702.0,48,153,14.595898673100121
"Bailey County, Texas",52273.0,0.4025,62517.0,48,017,8.309859154929578
"Chambers County, Texas",91141.0,0.424,105451.0,48,071,12.008231448977122
"Bell County, Texas",54884.0,0.4372,64505.0,48,027,13.412360072753563
"Cameron County, Texas",38758.0,0.4833,44593.0,48,061,28.639729074670473
"Deaf Smith County, Texas",49701.0,0.3949,55694.0,48,117,15.985269000853972
"El Paso County, Texas",46871.0,0.4613,52412.0,48,141,19.821376883532558
"La Salle County, Texas",50151.0,0.5508,54498.0,48,283,14.805825242718445
"Terrell County, Texas",43208.0,0.4328,54485.0,48,443,9.375
"Tyler County, Texas",44497.0,0.4263,60565.0,48,457,14.471605167766521
"Wheeler County, Texas",49315.0,0.4379,55769.0,48,483,18.07793180966654
"Archer County, Texas",63835.0,0.4654,83672.0,48,009,11.85176686553465
"Brewster County, Texas",47080.0,0.4443,65841.0,48,043,13.584660383490412
"Hidalgo County, Texas",40014.0,0.4867,44259.0,48,215,29.336534233888695
"Smith County, Texas",56810.0,0.4667,69572.0,48,423,14.999406460349354
"Crockett County, Texas",47386.0,0.4284,57021.0,48,105,18.28358208955224
"Haskell County, Texas",40313.0,0.4223,54115.0,48,207,18.721620677610897
"Howard County, Texas",54208.0,0.4696,65210.0,48,227,15.048557044210295
"Mills County, Texas",49306.0,0.4953,62167.0,48,333,15.013295152382899
"Montague County, Texas",51765.0,0.4554,61815.0,48,337,15.36764328595618
"Panola County, Texas",52982.0,0.4493,59416.0,48,365,14.37390148754662
"Sabine County, Texas",34992.0,0.4969,50185.0,48,403,19.826186610638906
"Sherman County, Texas",51926.0,0.5065,63194.0,48,421,14.645308924485127
"Swisher County, Texas",39771.0,0.4793,47043.0,48,437,22.954790096878362
"Hunt County, Texas",54959.0,0.4402,66233.0,48,231,15.591215139865339
"Camp County, Texas",48207.0,0.4345,58455.0,48,063,18.419009162913497
"Hansford County, Texas",38000.0,0.4383,41859.0,48,195,17.155797101449274
"Guadalupe County, Texas",74496.0,0.3992,84769.0,48,187,8.993747090572828
"Clay County, Texas",55989.0,0.4279,69818.0,48,077,12.102278188983947
"Hartley County, Texas",58298.0,0.372,68051.0,48,205,4.427588639971777
"Reagan County, Texas",74868.0,0.3476,79375.0,48,383,9.479553903345725
"Hill County, Texas",53307.0,0.4401,62965.0,48,217,12.281095015270811
"Limestone County, Texas",44418.0,0.448,54113.0,48,293,18.738523295042064
"Nacogdoches County, Texas",44847.0,0.4943,58224.0,48,347,22.655688027058876
"Parmer County, Texas",55359.0,0.413,65000.0,48,369,14.81786375797489
"Parker County, Texas",77503.0,0.4328,90102.0,48,367,7.977669997234906
"Presidio County, Texas",25098.0,0.4726,33417.0,48,377,38.95340501792114
"Val Verde County, Texas",46147.0,0.4697,50597.0,48,465,19.473544487328716
"Culberson County, Texas",37900.0,0.3892,43854.0,48,109,29.494128274616077
"Ector County, Texas",62973.0,0.4516,73461.0,48,135,11.76928490026716
"Garza County, Texas",49627.0,0.4714,68160.0,48,169,13.657331136738057
"Glasscock County, Texas",78456.0,0.4746,77941.0,48,173,11.721854304635762
"Grimes County, Texas",52913.0,0.49,59948.0,48,185,14.772727272727273
"Collin County, Texas",96913.0,0.43,113471.0,48,085,6.253535761111402
"Angelina County, Texas",50453.0,0.4369,57524.0,48,005,17.20757655573624
"Cottle County, Texas",32305.0,0.4886,39706.0,48,101,30.755176613885503
"Hays County, Texas",68717.0,0.4499,85891.0,48,209,13.223287684073377
