CAMPUS,CAMPNAME,CNTYNAME,COUNTY,DISTNAME,DISTRICT,REGION
'004901001,ROCKPORT-FULTON H S,ARANSAS,'004,ARANSAS COUNTY ISD,'004901,'02
'004901041,ROCKPORT-FULTON MIDDLE,ARANSAS,'004,ARANSAS COUNTY ISD,'004901,'02
'004901101,FULTON LEARNING CENTER,ARANSAS,'004,ARANSAS COUNTY ISD,'004901,'02
'004901102,DISCOVERY LEARNING CENTER,ARANSAS,'004,ARANSAS COUNTY ISD,'004901,'02
'004901103,LIVE OAK LEARNING CENTER,ARANSAS,'004,ARANSAS COUNTY ISD,'004901,'02
'005901001,ARCHER CITY H S,ARCHER,'005,ARCHER CITY ISD,'005901,'09
'005901101,ARCHER CITY EL,ARCHER,'005,ARCHER CITY ISD,'005901,'09
'005902001,HOLLIDAY H S,ARCHER,'005,HOLLIDAY ISD,'005902,'09
'005902041,HOLLIDAY MIDDLE,ARCHER,'005,HOLLIDAY ISD,'005902,'09
'005902101,HOLLIDAY EL,ARCHER,'005,HOLLIDAY ISD,'005902,'09
'005904001,WINDTHORST H S,ARCHER,'005,WINDTHORST ISD,'005904,'09
'005904041,WINDTHORST JH,ARCHER,'005,WINDTHORST ISD,'005904,'09
'005904101,WINDTHORST EL,ARCHER,'005,WINDTHORST ISD,'005904,'09
'006902001,CLAUDE H S,ARMSTRONG,'006,CLAUDE ISD,'006902,'16
'006902101,CLAUDE EL,ARMSTRONG,'006,CLAUDE ISD,'006902,'16
'007901001,CHARLOTTE H S,ATASCOSA,'007,CHARLOTTE ISD,'007901,'20
'007901003,DISTRICT REASSIGNMENT & OPPORTUNIT,ATASCOSA,'007,CHARLOTTE ISD,'007901,'20
'007901041,CHARLOTTE MIDDLE,ATASCOSA,'007,CHARLOTTE ISD,'007901,'20
'007901101,CHARLOTTE EL,ATASCOSA,'007,CHARLOTTE ISD,'007901,'20
'007902001,JOURDANTON H S,ATASCOSA,'007,JOURDANTON ISD,'007902,'20
'007902005,ATASCOSA COUNTY JUVENILE JUSTICE C,ATASCOSA,'007,JOURDANTON ISD,'007902,'20
'007902006,JOURDANTON DAEP,ATASCOSA,'007,JOURDANTON ISD,'007902,'20
'007902041,JOURDANTON J H,ATASCOSA,'007,JOURDANTON ISD,'007902,'20
'007902101,JOURDANTON EL,ATASCOSA,'007,JOURDANTON ISD,'007902,'20
'007904001,LYTLE H S,ATASCOSA,'007,LYTLE ISD,'007904,'20
'007904002,LYTLE DAEP,ATASCOSA,'007,LYTLE ISD,'007904,'20
'007904003,JJAEP,ATASCOSA,'007,LYTLE ISD,'007904,'20
'007904041,LYTLE J H,ATASCOSA,'007,LYTLE ISD,'007904,'20
'007904101,LYTLE EL,ATASCOSA,'007,LYTLE ISD,'007904,'20
'007904103,LYTLE PRIMARY SCHOOL,ATASCOSA,'007,LYTLE ISD,'007904,'20
'007905001,PLEASANTON H S,ATASCOSA,'007,PLEASANTON ISD,'007905,'20
'007905004,ATASCOSA CO ALTER,ATASCOSA,'007,PLEASANTON ISD,'007905,'20
'007905005,PLEASANTON ISD SCHOOL OF CHOICE,ATASCOSA,'007,PLEASANTON ISD,'007905,'20
'007905041,PLEASANTON J H,ATASCOSA,'007,PLEASANTON ISD,'007905,'20
'007905103,PLEASANTON EL,ATASCOSA,'007,PLEASANTON ISD,'007905,'20
'007905105,PLEASANTON PRI,ATASCOSA,'007,PLEASANTON ISD,'007905,'20
'007906001,POTEET H S,ATASCOSA,'007,POTEET ISD,'007906,'20
'007906003,ATASCOSA CO JUVENILE UNIT,ATASCOSA,'007,POTEET ISD,'007906,'20
'007906041,POTEET J H,ATASCOSA,'007,POTEET ISD,'007906,'20
'007906101,POTEET EL,ATASCOSA,'007,POTEET ISD,'007906,'20
'007906102,POTEET INT,ATASCOSA,'007,POTEET ISD,'007906,'20
'008901001,BELLVILLE H S,AUSTIN,'008,BELLVILLE ISD,'008901,'06
'008901041,BELLVILLE J H,AUSTIN,'008,BELLVILLE ISD,'008901,'06
'008901101,O'BRYANT PRI,AUSTIN,'008,BELLVILLE ISD,'008901,'06
'008901102,O'BRYANT INT,AUSTIN,'008,BELLVILLE ISD,'008901,'06
'008901105,WEST END EL,AUSTIN,'008,BELLVILLE ISD,'008901,'06
'008902001,SEALY H S,AUSTIN,'008,SEALY ISD,'008902,'06
'008902041,SEALY J H,AUSTIN,'008,SEALY ISD,'008902,'06
'008902102,SELMAN EL,AUSTIN,'008,SEALY ISD,'008902,'06
'008902104,SEALY EL,AUSTIN,'008,SEALY ISD,'008902,'06
'008903001,BRAZOS H S,AUSTIN,'008,BRAZOS ISD,'008903,'06
'008903041,BRAZOS MIDDLE,AUSTIN,'008,BRAZOS ISD,'008903,'06
'008903102,BRAZOS EL,AUSTIN,'008,BRAZOS ISD,'008903,'06
'008903103,PRAIRIE HARBOR ALTERNATIVE SCHOOL,AUSTIN,'008,BRAZOS ISD,'008903,'06
'009901001,MULESHOE H S,BAILEY,'009,MULESHOE ISD,'009901,'17
'009901002,P E P,BAILEY,'009,MULESHOE ISD,'009901,'17
'009901041,WATSON J H,BAILEY,'009,MULESHOE ISD,'009901,'17
'009901101,MARY DESHAZO EL,BAILEY,'009,MULESHOE ISD,'009901,'17
'009901103,DILLMAN EL,BAILEY,'009,MULESHOE ISD,'009901,'17
'010901001,MEDINA SCHOOL,BANDERA,'010,MEDINA ISD,'010901,'20
'010902001,BANDERA H S,BANDERA,'010,BANDERA ISD,'010902,'20
'010902041,BANDERA MIDDLE,BANDERA,'010,BANDERA ISD,'010902,'20
'010902101,ALKEK EL,BANDERA,'010,BANDERA ISD,'010902,'20
'010902102,HILL COUNTRY EL,BANDERA,'010,BANDERA ISD,'010902,'20
'011901001,BASTROP H S,BASTROP,'011,BASTROP ISD,'011901,'13
'011901002,CEDAR CREEK H S,BASTROP,'011,BASTROP ISD,'011901,'13
'011901005,COLORADO RIVER COLLEGIATE ACADEMY,BASTROP,'011,BASTROP ISD,'011901,'13
'011901022,GENESIS H S,BASTROP,'011,BASTROP ISD,'011901,'13
'011901041,BASTROP MIDDLE,BASTROP,'011,BASTROP ISD,'011901,'13
'011901101,EMILE EL,BASTROP,'011,BASTROP ISD,'011901,'13
'011901102,MINA EL,BASTROP,'011,BASTROP ISD,'011901,'13
'011901103,CEDAR CREEK EL,BASTROP,'011,BASTROP ISD,'011901,'13
'011901104,BASTROP INT,BASTROP,'011,BASTROP ISD,'011901,'13
'011901106,CEDAR CREEK MIDDLE,BASTROP,'011,BASTROP ISD,'011901,'13
'011901107,RED ROCK EL,BASTROP,'011,BASTROP ISD,'011901,'13
'011901108,CEDAR CREEK INT,BASTROP,'011,BASTROP ISD,'011901,'13
'011901109,BLUEBONNET EL,BASTROP,'011,BASTROP ISD,'011901,'13
'011901110,LOST PINES EL,BASTROP,'011,BASTROP ISD,'011901,'13
'011902001,ELGIN H S,BASTROP,'011,ELGIN ISD,'011902,'13
'011902003,BASTROP COUNTY JUVENILE BOOT CAMP,BASTROP,'011,ELGIN ISD,'011902,'13
'011902004,PHOENIX H S,BASTROP,'011,ELGIN ISD,'011902,'13
'011902041,ELGIN MIDDLE,BASTROP,'011,ELGIN ISD,'011902,'13
'011902101,BOOKER T WASHINGTON EL,BASTROP,'011,ELGIN ISD,'011902,'13
'011902102,ELGIN EL,BASTROP,'011,ELGIN ISD,'011902,'13
'011902103,NEIDIG EL,BASTROP,'011,ELGIN ISD,'011902,'13
