CAMPUS,CAMPNAME,CNTYNAME,COUNTY,DISTNAME,DISTRICT,REGION
'057804012,HOUSTON CAN ACADEMY - SOUTHWEST,DALLAS,'057,TEXANS CAN ACADEMIES,'057804,'10
'057804013,GARLAND CAN ACADEMY,DALLAS,'057,TEXANS CAN ACADEMIES,'057804,'10
'057805101,LUMIN LINDSLEY PARK COMMUNITY SCHO,DALLAS,'057,LUMIN EDUCATION,'057805,'10
'057806101,ADVANTAGE ACADEMY,DALLAS,'057,ADVANTAGE ACADEMY,'057806,'10
'057807001,LIFE SCHOOL OAK CLIFF,DALLAS,'057,LIFE SCHOOL,'057807,'10
'057807002,LIFE H S WAXAHACHIE,DALLAS,'057,LIFE SCHOOL,'057807,'10
'057807041,LIFE MIDDLE WAXAHACHIE,DALLAS,'057,LIFE SCHOOL,'057807,'10
'057807101,LIFE SCHOOL RED OAK,DALLAS,'057,LIFE SCHOOL,'057807,'10
'057807102,LIFE SCHOOL LANCASTER,DALLAS,'057,LIFE SCHOOL,'057807,'10
'057807104,LIFE SCHOOL CEDAR HILL,DALLAS,'057,LIFE SCHOOL,'057807,'10
'057807105,LIFE SCHOOL MOUNTAIN CREEK,DALLAS,'057,LIFE SCHOOL,'057807,'10
'057808101,UNIVERSAL ACADEMY,DALLAS,'057,UNIVERSAL ACADEMY,'057808,'10
'057808102,UNIVERSAL ACADEMY - COPPELL,DALLAS,'057,UNIVERSAL ACADEMY,'057808,'10
'057809101,NOVA ACADEMY,DALLAS,'057,NOVA ACADEMY,'057809,'10
'057810101,ACADEMY OF DALLAS,DALLAS,'057,ACADEMY OF DALLAS,'057810,'10
'057813101,TRINITY BASIN PREPARATORY,DALLAS,'057,TRINITY BASIN PREPARATORY,'057813,'10
'057813104,TRINITY BASIN PREPARATORY,DALLAS,'057,TRINITY BASIN PREPARATORY,'057813,'10
'057814001,DALLAS COUNTY JUVENILE JUSTICE,DALLAS,'057,ACADEMY FOR ACADEMIC EXCELLENCE,'057814,'10
'057814002,DRC CAMPUS,DALLAS,'057,ACADEMY FOR ACADEMIC EXCELLENCE,'057814,'10
'057814003,MEDLOCK YOUTH VILLAGE,DALLAS,'057,ACADEMY FOR ACADEMIC EXCELLENCE,'057814,'10
'057814004,SAU CAMPUS,DALLAS,'057,ACADEMY FOR ACADEMIC EXCELLENCE,'057814,'10
'057814005,LETOT CAMPUS,DALLAS,'057,ACADEMY FOR ACADEMIC EXCELLENCE,'057814,'10
'057816101,AW BROWN-F L A INT CAMPUS,DALLAS,'057,A W BROWN LEADERSHIP ACADEMY,'057816,'10
'057816102,A W BROWN - F L A EARLY CHILDHOOD,DALLAS,'057,A W BROWN LEADERSHIP ACADEMY,'057816,'10
'057819001,JEAN MASSIEU ACADEMY,DALLAS,'057,JEAN MASSIEU ACADEMY,'057819,'10
'057827101,NOVA ACADEMY CEDAR HILL,DALLAS,'057,NOVA ACADEMY SOUTHEAST,'057827,'10
'057827102,NOVA ACADEMY PRICHARD,DALLAS,'057,NOVA ACADEMY SOUTHEAST,'057827,'10
'057828001,WINFREE ACADEMY CHARTER SCHOOL (IR,DALLAS,'057,WINFREE ACADEMY CHARTER SCHOOLS,'057828,'10
'057828002,WINFREE ACADEMY CHARTER SCHOOL (LE,DALLAS,'057,WINFREE ACADEMY CHARTER SCHOOLS,'057828,'10
'057828003,WINFREE ACADEMY CHARTER SCHOOL (RI,DALLAS,'057,WINFREE ACADEMY CHARTER SCHOOLS,'057828,'10
'057828004,WINFREE ACADEMY CHARTER SCHOOL - G,DALLAS,'057,WINFREE ACADEMY CHARTER SCHOOLS,'057828,'10
'057828005,WINFREE ACADEMY NORTH RICHLAND HIL,DALLAS,'057,WINFREE ACADEMY CHARTER SCHOOLS,'057828,'10
'057828006,WINFREE ACADEMY CHARTER SCHOOL DAL,DALLAS,'057,WINFREE ACADEMY CHARTER SCHOOLS,'057828,'10
'057829001,A+ ACADEMY EL,DALLAS,'057,A+ ACADEMY,'057829,'10
'057829002,A+ SECONDARY SCHOOL,DALLAS,'057,A+ ACADEMY,'057829,'10
'057830001,INSPIRED VISION ACADEMY EL,DALLAS,'057,INSPIRED VISION ACADEMY,'057830,'10
'057830002,INSPIRED VISION ACADEMY SECONDARY,DALLAS,'057,INSPIRED VISION ACADEMY,'057830,'10
'057831001,GATEWAY CHARTER ACADEMY,DALLAS,'057,GATEWAY CHARTER ACADEMY,'057831,'10
'057831002,GATEWAY CHARTER ACADEMY - MIDDLE -,DALLAS,'057,GATEWAY CHARTER ACADEMY,'057831,'10
'057833001,EDUCATION CENTER INTERNATIONAL ACA,DALLAS,'057,EDUCATION CENTER INTERNATIONAL ACA,'057833,'10
'057833002,EDUCATION CENTER INTERNATIONAL ACA,DALLAS,'057,EDUCATION CENTER INTERNATIONAL ACA,'057833,'10
'057833003,EDUCATION CENTER INTERNATIONAL ACA,DALLAS,'057,EDUCATION CENTER INTERNATIONAL ACA,'057833,'10
'057834001,EVOLUTION ACADEMY CHARTER SCHOOL,DALLAS,'057,EVOLUTION ACADEMY CHARTER SCHOOL,'057834,'10
'057834003,EVOLUTION ACADEMY BEAUMONT,DALLAS,'057,EVOLUTION ACADEMY CHARTER SCHOOL,'057834,'10
'057834004,EVOLUTION ACADEMY HOUSTON,DALLAS,'057,EVOLUTION ACADEMY CHARTER SCHOOL,'057834,'10
'057835001,GOLDEN RULE CHARTER SCHOOL,DALLAS,'057,GOLDEN RULE CHARTER SCHOOL,'057835,'10
'057835101,GOLDEN RULE,DALLAS,'057,GOLDEN RULE CHARTER SCHOOL,'057835,'10
'057835102,GOLDEN RULE DESOTO,DALLAS,'057,GOLDEN RULE CHARTER SCHOOL,'057835,'10
'057835103,GOLDEN RULE SOUTHWEST,DALLAS,'057,GOLDEN RULE CHARTER SCHOOL,'057835,'10
'057835104,GOLDEN RULE GRAND PRAIRIE,DALLAS,'057,GOLDEN RULE CHARTER SCHOOL,'057835,'10
'057835105,GOLDEN RULE SCHOOLS INC - WILMER,DALLAS,'057,GOLDEN RULE CHARTER SCHOOL,'057835,'10
'057836041,ST ANTHONY SCHOOL,DALLAS,'057,ST ANTHONY SCHOOL,'057836,'10
'057836101,ST ANTHONY ACADEMY,DALLAS,'057,ST ANTHONY SCHOOL,'057836,'10
'057839101,LA ACADEMIA DE ESTRELLAS,DALLAS,'057,LA ACADEMIA DE ESTRELLAS,'057839,'10
'057840001,RICHLAND COLLEGIATE H S OF MATH SC,DALLAS,'057,RICHLAND COLLEGIATE HIGH SCHOOL,'057840,'10
'057841001,EAST GRAND PREPARATORY ACADEMY,DALLAS,'057,CITYSCAPE SCHOOLS,'057841,'10
'057844001,MANARA LEADERSHIP ACADEMY,DALLAS,'057,MANARA ACADEMY,'057844,'10
'057844101,MANARA ACADEMY,DALLAS,'057,MANARA ACADEMY,'057844,'10
'057844102,MANARA STEM ACADEMY - ARLINGTON,DALLAS,'057,MANARA ACADEMY,'057844,'10
'057845001,UME PREPARATORY ACADEMY,DALLAS,'057,UME PREPARATORY ACADEMY,'057845,'10
'057845002,UME PREPARATORY ACADEMY - DUNCANVI,DALLAS,'057,UME PREPARATORY ACADEMY,'057845,'10
'057846001,LEGACY PREP CHARTER ACADEMY MESQUI,DALLAS,'057,LEGACY PREPARATORY,'057846,'10
'057846003,LEGACY PREPARATORY CHARTER ACADEMY,DALLAS,'057,LEGACY PREPARATORY,'057846,'10
'057847001,VILLAGE TECH SCHOOLS,DALLAS,'057,VILLAGE TECH SCHOOLS,'057847,'10
'057848001,ILTEXAS GARLAND EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848002,ILTEXAS GARLAND MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848003,ILTEXAS GARLAND H S,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848004,ILTEXAS ARLINGTON EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848005,ILTEXAS ARLINGTON MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848006,ILTEXAS ARLINGTON-GRAND PRAIRIE H,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848007,ILTEXAS KELLER EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848008,ILTEXAS KELLER MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848009,ILTEXAS KELLER SAGINAW H S,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848010,ILTEXAS GRAND PRAIRIE EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848011,ILTEXAS GRAND PRAIRIE MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848012,ILTEXAS NORTH RICHLAND HILLS EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848013,ILTEXAS NORTH RICHLAND HILLS MIDDL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848014,ILTEXAS KATY EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848015,ILTEXAS KATY MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848016,ILTEXAS WESTPARK EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848017,ILTEXAS WESTPARK MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848019,ILTEXAS LANCASTER EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848020,ILTEXAS LANCASTER MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848021,ILTEXAS EAST FORT WORTH EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848022,ILTEXAS EAST FORT WORTH MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848023,ILTEXAS SAGINAW EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848024,ILTEXAS SAGINAW MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848025,ILTEXAS HOUSTON WINDMILL LAKES EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848026,ILTEXAS HOUSTON WINDMILL LAKES MID,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848027,ILTEXAS HOUSTON OREM EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848028,ILTEXAS HOUSTON OREM MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848029,ILTEXAS EAST FORT WORTH NORTH RICH,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848030,ILTEXAS COLLEGE STATION EL,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848031,ILTEXAS COLLEGE STATION MIDDLE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848032,ILTEXAS LANCASTER DESOTO H S,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057848033,ILTEXAS HOUSTON WINDMILL LAKES ORE,DALLAS,'057,INTERNATIONAL LEADERSHIP OF TEXAS,'057848,'10
'057849001,TRINITY ENVIRONMENTAL ACADEMY,DALLAS,'057,TRINITY ENVIRONMENTAL ACADEMY,'057849,'10
'057849002,TRINITY ENVIRONMENTAL ACADEMY,DALLAS,'057,TRINITY ENVIRONMENTAL ACADEMY,'057849,'10
'057850001,PIONEER TECHNOLOGY (PTAA) MESQUITE,DALLAS,'057,PIONEER TECHNOLOGY & ARTS ACADEMY,'057850,'10
'057850002,PIONEER TECHNOLOGY (PTAA) GREENVIL,DALLAS,'057,PIONEER TECHNOLOGY & ARTS ACADEMY,'057850,'10
'057850003,PIONEER TECHNOLOGY (PTAA) FATE,DALLAS,'057,PIONEER TECHNOLOGY & ARTS ACADEMY,'057850,'10
'057851101,BRIDGEWAY PREPARATORY ACADEMY,DALLAS,'057,BRIDGEWAY PREPARATORY ACADEMY,'057851,'10
'057903001,TURNER H S,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903002,SMITH H S,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903003,GRIMES EDUCATION CENTER,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903005,SALAZAR DISTRICT ALTERNATIVE EDUCA,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903006,CREEKVIEW H S,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903007,RANCHVIEW H S,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903009,DALLAS COUNTY JJAEP CFB CAMPUS,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903010,EARLY COLLEGE H S,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903041,FIELD MIDDLE,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903042,PERRY MIDDLE,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903044,LONG MIDDLE,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903045,BLALACK MIDDLE,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903046,POLK MIDDLE,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903047,BUSH MIDDLE,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903102,CARROLLTON EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903103,CENTRAL EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903105,GOOD EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903106,STARK EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903109,FARMERS BRANCH EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903110,BLANTON EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903111,THOMPSON EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903112,COUNTRY PLACE EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903113,DAVIS EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903114,MCCOY EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903116,FURNEAUX EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903117,HUIE SPECIAL EDUC CTR,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903118,ROSEMEADE EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903120,LAS COLINAS EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903121,LANDRY EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903122,KENT EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903123,RIVERCHASE ELE,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903124,MCKAMY EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903125,SHEFFIELD EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903126,RAINWATER EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903128,FREEMAN EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903129,MCWHORTER EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903131,BLAIR EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903132,LA VILLITA EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057903135,MCLAUGHLIN STRICKLAND EL,DALLAS,'057,CARROLLTON-FARMERS BRANCH ISD,'057903,'10
'057904001,CEDAR HILL H S,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904003,CEDAR HILL COLLEGIATE H S,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904007,JJAEP,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904041,W S PERMENTER MIDDLE,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904042,BESSIE COLEMAN MIDDLE,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904043,CEDAR HILL COLLEGIATE ACADEMY,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904101,BRAY EL,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904102,PLUMMER EL,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904104,HIGH POINTE EL,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904105,HIGHLANDS EL,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904107,WATERFORD OAKS EL,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904108,LAKERIDGE EL,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057904110,CEDAR HILL COLLEGIATE PREP,DALLAS,'057,CEDAR HILL ISD,'057904,'10
'057905001,BRYAN ADAMS H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905002,W H ADAMSON H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905003,NEW TECH H S AT B F DARRELL H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905005,MOISES E MOLINA H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905006,HILLCREST H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905007,THOMAS JEFFERSON H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905008,JUSTIN F KIMBALL H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905009,LINCOLN HUMANITIES/COMMUNICATIONS,DALLAS,'057,DALLAS ISD,'057905,'10
'057905011,BARBARA M MANNS MIDDLE DAEP,DALLAS,'057,DALLAS ISD,'057905,'10
'057905012,L G PINKSTON H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905013,FRANKLIN D ROOSEVELT H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905014,W W SAMUELL H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905015,SEAGOVILLE H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905016,SOUTH OAK CLIFF H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905017,H GRADY SPRUCE H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905018,SUNSET H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905021,W T WHITE H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905022,WOODROW WILSON H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905023,DAVID W CARTER H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905024,NORTH DALLAS H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905025,SKYLINE H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905026,SCHOOL OF SCIENCE AND ENGINEERING,DALLAS,'057,DALLAS ISD,'057905,'10
'057905028,EMMETT J CONRAD H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905029,BARBARA M MANNS H S DAEP,DALLAS,'057,DALLAS ISD,'057905,'10
'057905030,MAYA ANGELOU H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905032,JAMES MADISON H S,DALLAS,'057,DALLAS ISD,'057905,'10
'057905033,SCHOOL OF BUSINESS AND MANAGEMENT,DALLAS,'057,DALLAS ISD,'057905,'10
'057905034,BOOKER T WASHINGTON SPVA MAGNET,DALLAS,'057,DALLAS ISD,'057905,'10
'057905035,IRMA RANGEL YOUNG WOMEN'S LEADERSH,DALLAS,'057,DALLAS ISD,'057905,'10
'057905036,SCHOOL OF HEALTH PROFESSIONS,DALLAS,'057,DALLAS ISD,'057905,'10
'057905037,ROSIE SORRELLS EDUCATION AND SOCIA,DALLAS,'057,DALLAS ISD,'057905,'10
'057905038,JUDGE BAREFOOT SANDERS LAW MAGNET,DALLAS,'057,DALLAS ISD,'057905,'10
'057905039,SCHOOL FOR THE TALENTED AND GIFTED,DALLAS,'057,DALLAS ISD,'057905,'10
'057905042,WILLIAM HAWLEY ATWELL LAW ACADEMY,DALLAS,'057,DALLAS ISD,'057905,'10
'057905043,T W BROWNE MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905044,EDWARD H CARY MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905045,E B COMSTOCK MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905046,YOUNG MEN'S LEADERSHIP ACADEMY AT,DALLAS,'057,DALLAS ISD,'057905,'10
'057905047,BENJAMIN FRANKLIN INTERNATIONAL EX,DALLAS,'057,DALLAS ISD,'057905,'10
'057905048,W H GASTON MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905049,W E GREINER EXPLORATORY ARTS ACADE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905050,ROBERT T HILL MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905051,OLIVER WENDELL HOLMES HUMANITIES/C,DALLAS,'057,DALLAS ISD,'057905,'10
'057905052,PIEDMONT GLOBAL ACADEMY,DALLAS,'057,DALLAS ISD,'057905,'10
'057905053,J L LONG MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905054,THOMAS C MARSH MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905055,THOMAS J RUSK MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905056,EWELL D WALKER MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905058,ALEX W SPENCE TALENTED/GIFTED ACAD,DALLAS,'057,DALLAS ISD,'057905,'10
'057905059,L V STOCKARD MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905060,BOUDE STOREY MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905062,BILLY EARL DADE MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905068,RAUL QUINTANILLA SR MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905069,SEAGOVILLE MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905071,DALLAS ENVIRONMENTAL SCIENCE ACADE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905072,SARAH ZUMWALT MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905073,HENRY W LONGFELLOW CAREER EXPLORAT,DALLAS,'057,DALLAS ISD,'057905,'10
'057905076,HAROLD WENDELL LANG SR MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905077,HECTOR P GARCIA MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905079,FRANCISCO MEDRANO MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905083,SAM TASBY MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905085,KATHLYN JOY GILLIAM COLLEGIATE ACA,DALLAS,'057,DALLAS ISD,'057905,'10
'057905088,TRINIDAD GARZA EARLY COLLEGE AT MT,DALLAS,'057,DALLAS ISD,'057905,'10
'057905090,DR WRIGHT L LASSITER JR EARLY COLL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905096,JUVENILE JUSTICE AEP,DALLAS,'057,DALLAS ISD,'057905,'10
'057905099,HOSPITAL/HOMEBOUND,DALLAS,'057,DALLAS ISD,'057905,'10
'057905100,ZAN WESLEY HOLMES JR MIDDLE,DALLAS,'057,DALLAS ISD,'057905,'10
'057905101,JOHN Q ADAMS EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905102,PREK PARTNERSHIP CENTER,DALLAS,'057,DALLAS ISD,'057905,'10
'057905103,GABE P ALLEN CHARTER SCHOOL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905104,WILLIAM M ANDERSON EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905105,ARCADIA PARK EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905107,JOSE 'JOE' MAY EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905108,BAYLES EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905109,W A BLAIR EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905110,ANNIE WEBB BLANTON EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905112,JAMES BOWIE EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905114,JOHN NEELY BRYAN EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905115,HARRELL BUDD EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905116,DAVID G BURNET EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905117,RUFUS C BURLESON EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905118,W W BUSHMAN EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905119,CHAPEL HILL PREPARATORY-A PERSONAL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905120,F P CAILLET EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905121,JOHN W CARPENTER EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905122,C F CARR EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905125,CASA VIEW EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905126,CENTRAL EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905128,MARTIN LUTHER KING JR LEARNING CEN,DALLAS,'057,DALLAS ISD,'057905,'10
'057905129,S S CONNER EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905130,LEILA P COWART EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905131,IGNACIO ZARAGOZA EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905133,BARBARA JORDAN EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905134,GEORGE B DEALEY MONTESSORI ACADEMY,DALLAS,'057,DALLAS ISD,'057905,'10
'057905135,EVERETTE LEE DEGOLYER EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905136,L O DONALD EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905137,JULIUS DORSEY EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905139,PAUL L DUNBAR LEARNING CENTER,DALLAS,'057,DALLAS ISD,'057905,'10
'057905141,JILL STONE EL AT VICKERY MEADOW,DALLAS,'057,DALLAS ISD,'057905,'10
'057905142,J N ERVIN EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905144,TOM W FIELD EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905145,STEPHEN C FOSTER EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905147,CHARLES A GILL EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905148,TOM C GOOCH EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905149,LENORE KIRK HALL EL,DALLAS,'057,DALLAS ISD,'057905,'10
'057905152,MARGARET B HENDERSON EL,DALLAS,'057,DALLAS ISD,'057905,'10
