CAMPUS,CD000AA11219R,CD000ABI1219R,CD000AR11219R,CD000AUS1219R,CD200AA11219R,CD200ABI1219R,CD200AR11219R,CD200AUS1219R,CD300AA11219R,CD300ABI1219R,CD300AR11219R,CD300AUS1219R,CD400AA11219R,CD400ABI1219R,CD400AR11219R,CD400AUS1219R,CDA00AA11219R,CDA00ABI1219R,CDA00AR11219R,CDA00AUS1219R,CDB00AA11219R,CDB00ABI1219R,CDB00AR11219R,CDB00AUS1219R,CDE00AA11219R,CDE00ABI1219R,CDE00AR11219R,CDE00AUS1219R,CDF00AA11219R,CDF00ABI1219R,CDF00AR11219R,CDF00AUS1219R,CDH00AA11219R,CDH00ABI1219R,CDH00AR11219R,CDH00AUS1219R,CDI00AA11219R,CDI00ABI1219R,CDI00AR11219R,CDI00AUS1219R,CDL00AA11219R,CDL00ABI1219R,CDL00AR11219R,CDL00AUS1219R,CDM00AA11219R,CDM00ABI1219R,CDM00AR11219R,CDM00AUS1219R,CDR00AA11219R,CDR00ABI1219R,CDR00AR11219R,CDR00AUS1219R,CDS00AA11219R,CDS00ABI1219R,CDS00AR11219R,CDS00AUS1219R,CDW00AA11219R,CDW00ABI1219R,CDW00AR11219R,CDW00AUS1219R,CNC00AA11219R,CNC00ABI1219R,CNC00AR11219R,CNC00AUS1219R,CNM00AA11219R,CNM00ABI1219R,CNM00AR11219R,CNM00AUS1219R,CNS00AA11219R,CNS00ABI1219R,CNS00AR11219R,CNS00AUS1219R
'001907102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001907110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001908002,40,29,27,43,-1,-1,43,67,.,-1,-1,.,.,.,.,.,43,62,40,61,14,26,19,46,41,61,40,60,53,69,58,50,47,60,49,50,-1,.,-1,-1,-1,17,13,-1,33,55,26,69,34,42,24,43,9,30,4,8,48,76,45,72,45,64,41,60,39,57,37,63,-1,.,-1,-1
'001908041,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.
'001908101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001908102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'001909001,-1,-1,-1,-1,.,-1,.,.,-1,-1,-1,-1,.,.,.,.,31,75,59,74,.,.,.,.,21,63,50,62,43,75,71,60,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,24,75,52,82,8,56,31,40,0,0,0,-1,29,80,60,79,22,75,50,74,44,75,73,75,.,.,.,.
'001909101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901001,58,38,22,29,17,40,60,100,.,.,.,-1,.,.,.,.,66,57,43,64,-1,-1,-1,-1,54,43,30,46,71,58,45,59,66,52,38,59,-1,40,-1,-1,44,22,6,20,63,56,42,69,50,38,25,38,25,27,8,31,72,73,58,73,67,58,43,66,64,54,44,54,-1,-1,-1,-1
'002901002,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,0,8,.,.,.,.,.,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,.,.,.,.,.,.,-1,-1,-1,-1,0,0,-1,-1,0,0,.,.,.,.,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,.,.,.,.
'002901041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'002901105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003801001,-1,60,33,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,.,83,86,72,85,77,80,50,43,89,83,63,78,84,83,72,84,80,73,60,88,.,.,.,.,-1,-1,-1,-1,81,90,73,86,55,68,42,74,-1,67,33,-1,86,93,84,92,84,86,72,81,79,85,74,100,.,.,.,-1
'003801042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003801103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902001,63,43,35,86,86,86,63,-1,-1,-1,-1,.,.,.,.,.,71,73,66,91,40,38,28,50,68,66,51,85,76,75,73,91,76,69,58,93,-1,-1,-1,-1,44,-1,30,-1,65,70,60,91,54,48,39,78,41,29,16,54,72,76,72,94,73,71,68,94,66,77,60,78,-1,-1,-1,.
'003902004,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,-1,.,.,.,-1,-1,-1,-1,-1,0,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,.,.,.,.
'003902041,-1,.,.,.,-1,.,.,.,-1,-1,.,.,.,.,.,.,100,100,.,.,.,.,.,.,100,-1,.,.,100,100,.,.,100,100,.,.,.,.,.,.,.,.,.,.,100,-1,.,.,-1,-1,.,.,.,.,.,.,100,100,.,.,100,100,.,.,100,100,.,.,.,.,.,.
'003902101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003902102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003903001,51,45,24,46,39,42,35,75,-1,100,100,100,.,.,.,.,49,57,39,76,42,44,29,62,46,49,32,69,58,62,46,76,55,56,36,78,-1,-1,-1,.,37,17,6,36,42,54,33,75,41,41,23,61,33,39,18,38,51,74,54,88,51,62,41,76,43,41,32,72,83,75,38,-1
'003903004,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,0,33,0,27,-1,-1,-1,0,0,33,0,23,-1,-1,-1,14,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,38,0,33,0,21,.,-1,.,20,.,-1,.,-1,-1,-1,0,14,-1,-1,-1,38,.,.,.,.
'003903044,100,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.
'003903120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'003903121,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
