CAMPUS,CD000AA11219R,CD000ABI1219R,CD000AR11219R,CD000AUS1219R,CD200AA11219R,CD200ABI1219R,CD200AR11219R,CD200AUS1219R,CD300AA11219R,CD300ABI1219R,CD300AR11219R,CD300AUS1219R,CD400AA11219R,CD400ABI1219R,CD400AR11219R,CD400AUS1219R,CDA00AA11219R,CDA00ABI1219R,CDA00AR11219R,CDA00AUS1219R,CDB00AA11219R,CDB00ABI1219R,CDB00AR11219R,CDB00AUS1219R,CDE00AA11219R,CDE00ABI1219R,CDE00AR11219R,CDE00AUS1219R,CDF00AA11219R,CDF00ABI1219R,CDF00AR11219R,CDF00AUS1219R,CDH00AA11219R,CDH00ABI1219R,CDH00AR11219R,CDH00AUS1219R,CDI00AA11219R,CDI00ABI1219R,CDI00AR11219R,CDI00AUS1219R,CDL00AA11219R,CDL00ABI1219R,CDL00AR11219R,CDL00AUS1219R,CDM00AA11219R,CDM00ABI1219R,CDM00AR11219R,CDM00AUS1219R,CDR00AA11219R,CDR00ABI1219R,CDR00AR11219R,CDR00AUS1219R,CDS00AA11219R,CDS00ABI1219R,CDS00AR11219R,CDS00AUS1219R,CDW00AA11219R,CDW00ABI1219R,CDW00AR11219R,CDW00AUS1219R,CNC00AA11219R,CNC00ABI1219R,CNC00AR11219R,CNC00AUS1219R,CNM00AA11219R,CNM00ABI1219R,CNM00AR11219R,CNM00AUS1219R,CNS00AA11219R,CNS00ABI1219R,CNS00AR11219R,CNS00AUS1219R
'057916122,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916123,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916124,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916125,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916126,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916127,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916128,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916129,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916130,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916131,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916132,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916133,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916134,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916135,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916137,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916142,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916143,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916144,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916145,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057916146,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057919001,-1,60,33,-1,67,100,71,-1,82,93,93,92,.,.,.,.,56,81,77,86,42,52,52,71,40,50,41,79,59,85,83,82,50,92,82,79,.,.,.,.,-1,-1,-1,-1,52,76,71,90,31,42,37,50,7,24,29,20,55,81,78,88,60,80,79,88,36,82,71,77,-1,80,80,-1
'057919041,.,.,.,.,100,.,.,.,97,.,.,.,.,.,.,.,97,.,.,.,-1,.,.,.,100,.,.,.,97,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,97,.,.,.,-1,.,.,.,.,.,.,.,96,.,.,.,96,.,.,.,100,.,.,.,.,.,.,.
'057919101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922001,62,61,59,65,43,78,88,89,91,95,94,96,.,.,.,.,68,86,85,90,48,63,61,75,47,60,56,72,75,88,89,89,53,75,69,81,.,-1,-1,60,50,32,37,43,62,85,81,92,44,49,53,64,23,33,26,49,69,84,83,90,70,89,88,91,63,79,77,86,71,63,36,100
'057922003,71,67,89,.,-1,100,80,-1,73,84,89,92,.,.,.,.,54,88,91,94,40,67,67,-1,43,75,88,100,47,87,90,97,50,73,100,100,-1,-1,-1,.,-1,-1,-1,.,61,89,91,91,50,68,76,71,36,82,73,-1,53,96,92,95,55,90,89,94,50,82,95,92,-1,100,100,.
'057922007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922042,100,.,.,.,-1,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,-1,.,.,.,100,.,.,.,-1,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.
'057922043,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.
'057922044,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.
'057922101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922106,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922107,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922108,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922109,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922110,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922111,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'057922112,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'058902001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,57,.,.,.,.,.,-1,-1,80,.,-1,-1,-1,.,-1,-1,67,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,-1,-1,.,.,.,-1,.,.,.,-1,.,-1,-1,80,.,.,.,-1,.,.,.,.,.
'058905001,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,100,90,100,100,.,.,.,.,-1,-1,-1,100,100,86,100,-1,100,71,100,100,.,.,.,.,-1,-1,-1,.,100,92,100,100,100,60,100,-1,-1,-1,-1,.,100,100,100,100,100,94,100,100,-1,-1,-1,-1,.,.,.,-1
'058906001,89,-1,13,0,.,.,.,.,-1,-1,-1,-1,.,.,.,.,75,68,36,37,83,-1,33,60,71,58,29,31,67,67,41,32,73,59,33,33,.,.,.,.,86,-1,8,0,81,69,32,42,68,48,22,18,62,-1,27,0,85,100,59,47,74,66,38,37,77,78,29,38,-1,.,-1,-1
'058906004,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,20,.,.,-1,-1,0,0,0,14,0,0,0,14,0,0,0,13,.,.,.,.,.,-1,-1,-1,-1,-1,0,-1,0,0,0,11,-1,-1,-1,-1,.,.,.,.,0,0,0,-1,-1,-1,0,33,.,.,.,.
'058906041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'058906103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'058906105,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'058909001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,94,69,79,100,.,.,.,.,90,60,83,.,92,67,83,-1,100,56,80,-1,-1,-1,-1,.,.,.,.,.,-1,-1,71,-1,89,44,64,-1,-1,-1,-1,.,83,83,75,-1,100,75,93,100,-1,-1,40,.,.,.,.,.
'059901001,47,30,9,30,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,49,47,33,52,.,.,-1,-1,47,40,31,48,59,47,40,43,49,43,29,49,.,-1,-1,-1,40,17,5,21,41,46,28,61,45,37,25,40,13,24,11,5,63,77,67,72,49,48,34,54,50,41,30,35,0,-1,0,-1
'059901004,.,-1,0,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,4,0,20,.,.,.,.,0,0,0,13,0,0,0,22,0,5,0,17,.,.,.,.,.,-1,0,-1,0,13,0,14,0,5,0,21,.,-1,.,-1,.,-1,-1,-1,0,7,0,21,-1,0,0,18,-1,.,.,-1
'059901040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'059901042,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'059901043,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87,.,.,.,-1,.,.,.,88,.,.,.,85,.,.,.,90,.,.,.,.,.,.,.,.,.,.,.,90,.,.,.,-1,.,.,.,.,.,.,.,86,.,.,.,87,.,.,.,90,.,.,.,-1,.,.,.
'059901101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'059901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'059901103,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'059901104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'059902101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'060902001,-1,-1,-1,.,-1,-1,40,-1,.,.,.,.,-1,-1,-1,.,62,47,47,77,14,0,13,-1,58,42,34,65,70,48,54,82,67,56,27,75,-1,-1,-1,.,-1,.,-1,.,52,46,39,72,22,0,19,50,11,17,10,-1,71,54,55,75,67,47,52,77,52,48,36,75,-1,-1,-1,.
'060902041,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'060902101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'060914001,.,.,.,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,22,36,28,60,0,-1,0,-1,19,38,19,60,29,-1,43,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,18,31,18,-1,7,27,14,-1,40,-1,20,-1,27,63,40,-1,11,33,22,-1,33,40,33,-1,-1,.,-1,.
'060914102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061802003,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061802004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061802005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061804001,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061804002,50,50,55,-1,-1,80,71,.,90,100,92,88,.,.,.,.,56,77,78,85,38,44,78,-1,33,67,67,-1,60,78,78,76,41,71,75,53,-1,-1,-1,-1,-1,-1,29,-1,53,76,77,100,18,47,62,-1,40,-1,20,-1,59,85,75,100,75,80,81,91,46,75,76,79,-1,-1,-1,-1
'061805001,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.
'061901002,56,37,33,37,.,.,.,-1,86,79,71,78,-1,-1,-1,-1,61,58,50,64,55,44,41,56,54,47,40,54,66,58,58,60,59,50,41,59,80,-1,63,60,40,18,13,29,57,58,44,69,44,34,29,41,21,17,11,47,66,72,65,76,64,60,51,64,50,50,48,65,50,50,33,100
'061901003,43,33,22,49,.,.,.,.,-1,100,67,88,.,-1,-1,-1,46,55,42,71,33,42,27,52,40,43,30,60,56,57,51,74,46,42,31,61,33,50,45,40,30,20,12,37,38,52,35,68,32,32,21,44,12,10,9,23,53,68,60,89,49,57,42,75,39,47,42,59,57,57,30,62
'061901005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061901006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061901007,50,49,41,44,.,.,.,-1,72,85,85,83,-1,-1,-1,-1,72,79,73,85,70,72,64,82,47,53,45,72,80,80,79,80,57,65,59,72,-1,75,78,67,30,18,15,31,66,78,67,89,40,42,36,61,28,29,20,38,80,86,80,91,75,82,75,87,60,68,64,73,54,73,50,86
'061901008,42,46,36,58,.,.,-1,.,89,75,71,91,-1,-1,-1,.,52,63,57,78,41,49,42,68,39,44,42,68,57,66,66,77,53,66,58,74,-1,-1,-1,-1,41,43,29,50,47,60,48,79,37,49,44,60,24,22,20,41,60,70,68,86,59,69,63,79,45,56,49,77,40,42,30,46
'061901039,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,-1,67,-1,25,75,.,.,-1,-1,-1,-1,33,-1,-1,-1,-1,78,-1,-1,20,-1,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,60,-1,14,63,.,.,.,.,-1,-1,-1,83,-1,-1,0,80,-1,-1,-1,71,.,.,.,.
'061901040,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,25,11,-1,-1,-1,-1,.,0,0,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,-1,-1,-1,0,14,0,-1,0,25,11,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,17,0,-1,-1,.,.,.
'061901041,-1,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,100,.,.,.,-1,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,-1,.,.,.
'061901044,92,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,96,.,.,.,100,.,.,.,98,.,.,.,98,.,.,.,96,.,.,.,.,.,.,.,-1,.,.,.,95,.,.,.,86,.,.,.,.,.,.,.,96,.,.,.,96,.,.,.,100,.,.,.,-1,.,.,.
'061901045,100,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,96,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,93,.,.,.,.,.,.,.,-1,.,.,.,92,.,.,.,95,.,.,.,100,.,.,.,-1,.,.,.
'061901046,-1,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.
'061901047,83,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,91,.,.,.,86,.,.,.,92,.,.,.,95,.,.,.,100,.,.,.,.,.,.,.,-1,.,.,.,88,.,.,.,-1,.,.,.,-1,.,.,.,87,.,.,.,92,.,.,.,90,.,.,.,-1,.,.,.
'061901048,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,100,.,.,.,-1,.,.,.,-1,.,.,.,100,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,100,.,.,.,100,.,.,.,100,.,.,.,-1,.,.,.
'061901049,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,89,.,.,.,67,.,.,.,-1,.,.,.,100,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,85,.,.,.,.,.,.,.,.,.,.,.,94,.,.,.,95,.,.,.,60,.,.,.,-1,.,.,.
'061901050,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,91,.,.,.,88,.,.,.,80,.,.,.,100,.,.,.,80,.,.,.,.,.,.,.,-1,.,.,.,85,.,.,.,-1,.,.,.,.,.,.,.,94,.,.,.,93,.,.,.,89,.,.,.,.,.,.,.
'061901102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'061901104,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
